PCA1,PCA2
-1880.0010484189188,-3.0709318743239953
-1879.0021942868625,-3.7012297217460484
-1878.0010246302809,-0.5427182829949126
-1877.0009414019987,-1.160713817481839
-1876.0013281519168,-1.0747118202854997
-1875.0013249183176,-1.533993487147975
-1874.001190865125,-1.9222091395583556
-1873.0021254764106,-3.150420607567468
-1872.0011736309098,-1.7403895338557858
-1871.0007126135715,-1.9730098135909797
-1870.000783229796,-2.51959600292279
-1869.0000680049452,-0.05814692549422329
-1868.0005864093218,-0.31199933950794456
-1867.000443860652,-0.231174537905404
-1866.0011632595997,-1.0861330687669346
-1865.0000835754581,-0.6305659391565355
-1864.000620138304,-0.6541547411075852
-1862.999996677463,0.49833244108081143
-1861.9992899545432,2.952702953963424
-1860.9984275975803,5.086659295611453
-1859.9983942784747,5.177710996082918
-1858.9985156090806,4.667790933231914
-1857.9979789202262,6.103682807274371
-1856.9983143137215,5.556839035759426
-1855.999115641549,4.351284828861791
-1854.9994443843607,2.726001712618756
-1853.9987391017967,3.60693558620443
-1853.0009818809776,0.4284511082814335
-1852.000831699228,0.3083765633962052
-1850.9992168297067,2.0594750686766066
-1849.9983889084506,4.346637671809495
-1848.9993491892892,3.749145616061364
-1847.9978007087375,6.806408426377483
-1846.997419817817,7.976640605286745
-1845.9989996564873,3.986603867364732
-1844.9982090411686,2.8154503683339343
-1843.9974491166977,4.34324359365355
-1842.999443308483,1.703990904112028
-1841.9997650503974,0.3421132874247137
-1840.99747621829,3.51351520608723
-1839.9983393598923,4.244655426064371
-1838.997165024677,6.38656164300308
-1837.9978470186143,6.167345033749374
-1836.9982163970271,4.868063061950608
-1835.9970891932608,6.947099392407532
-1834.9972031621,7.6397495566393
-1833.9953366589907,10.893123760223826
-1832.9941761140544,11.913963224808425
-1831.994408966024,11.81510826544635
-1830.9950534723866,10.411182396016741
-1829.9953336219696,9.877019920784875
-1828.9966623308392,7.754737557990961
-1827.9965587504994,8.728152488820928
-1826.9981190355393,5.616034014391069
-1825.998575260357,3.7670291708508348
-1824.9970937083926,5.680836296848188
-1824.0004213018692,1.9549406047808056
