BELGRADE_cloud_cover,BELGRADE_humidity,BELGRADE_pressure,BELGRADE_global_radiation,BELGRADE_precipitation,BELGRADE_sunshine,BELGRADE_temp_mean,BELGRADE_temp_min,BELGRADE_temp_max
6,0.46,1.0147,2.85,0.03,9.3,24.6,18.8,31.4
3,0.37,1.0132,2.62,0.0,7.5,27.2,21.5,32.3
7,0.57,1.0117,1.2,0.45,0.5,21.0,16.0,29.0
2,0.67,1.0154,3.14,0.0,11.5,18.6,15.0,23.5
3,0.54,1.0123,3.22,0.0,12.2,22.6,13.6,28.0
4,0.61,1.0152,2.61,0.0,7.3,19.2,15.2,23.2
5,0.64,1.0191,3.21,0.0,12.0,17.9,10.5,22.8
1,0.58,1.0191,3.2,0.0,11.8,18.5,10.7,24.8
5,0.47,1.0194,2.6,0.0,7.1,16.7,12.5,21.3
5,0.59,1.0164,2.66,0.28,7.5,12.5,9.7,18.5
7,0.76,1.0149,1.97,0.39,3.3,13.7,8.6,17.9
8,0.96,1.0113,0.85,2.21,0.0,13.2,11.3,14.5
8,0.95,1.0131,0.85,0.24,0.0,13.4,12.6,14.5
8,0.92,1.0181,0.85,0.03,0.0,14.4,12.7,15.9
5,0.71,1.021,2.88,0.04,10.2,18.2,13.1,25.0
3,0.64,1.0203,3.17,0.0,12.3,20.5,12.6,26.5
2,0.61,1.0201,2.87,0.0,10.1,21.2,14.5,27.6
2,0.54,1.0202,2.93,0.0,10.5,22.2,15.4,28.3
2,0.58,1.0198,3.34,0.0,13.5,23.0,15.4,29.0
4,0.6,1.019,2.63,0.01,8.4,23.3,17.9,28.7
6,0.64,1.018,2.54,0.0,7.8,23.3,17.7,28.5
4,0.64,1.0164,2.6,0.04,8.2,22.7,18.6,28.3
3,0.63,1.0142,3.15,0.0,12.0,22.9,17.2,29.6
4,0.49,1.0114,2.73,1.08,9.0,25.3,19.1,30.9
7,0.7,1.0125,1.89,0.06,4.0,18.3,16.3,25.3
6,0.54,1.0162,2.59,0.0,8.1,18.3,11.9,23.0
1,0.59,1.0152,3.31,0.0,13.2,20.2,11.8,26.0
4,0.57,1.0137,3.37,0.0,13.6,24.1,16.7,30.1
6,0.63,1.0181,2.92,0.9,10.3,24.1,18.5,29.8
5,0.81,1.0253,1.84,0.0,3.7,17.4,14.0,23.6
5,0.56,1.024,3.33,0.0,13.3,19.1,14.2,25.0
4,0.8,1.0228,2.08,0.25,5.0,17.2,12.9,22.5
1,0.67,1.0199,3.21,0.0,12.4,20.4,13.5,26.5
5,0.59,1.0136,2.88,0.69,10.0,21.2,15.0,28.4
7,0.65,1.0164,2.28,0.0,6.1,16.2,13.5,20.5
4,0.59,1.0171,2.67,0.02,8.6,17.5,11.7,22.4
4,0.51,1.0172,3.13,0.0,11.8,20.2,14.5,24.6
2,0.54,1.0173,2.67,0.0,8.6,19.7,12.8,26.4
2,0.51,1.0181,3.36,0.0,13.6,22.1,12.2,28.0
7,0.81,1.0178,1.39,0.26,1.7,19.1,13.8,25.4
5,0.67,1.0151,1.89,0.8,4.0,20.5,16.5,27.7
1,0.68,1.0123,3.37,0.0,13.7,21.3,15.1,26.4
3,0.64,1.0079,2.68,0.57,8.7,19.5,13.9,27.8
7,0.68,1.0124,1.05,0.05,0.6,15.7,10.4,18.4
4,0.65,1.0142,2.31,0.0,6.4,17.0,11.1,22.5
5,0.57,1.0135,2.69,1.01,8.8,18.0,8.9,22.5
8,0.75,1.0097,1.82,0.44,3.7,17.5,13.4,21.6
6,0.76,1.0104,1.24,0.52,1.2,15.1,13.5,18.4
5,0.63,1.0147,2.51,0.0,7.7,17.7,12.5,23.0
0,0.53,1.014,3.34,0.0,13.6,21.4,13.3,27.2
2,0.53,1.0135,3.27,0.0,13.1,24.9,18.0,30.5
2,0.54,1.0097,3.27,0.0,13.1,26.5,18.5,32.4
7,0.65,1.0071,1.44,1.19,2.0,21.0,16.1,26.0
5,0.76,1.0131,1.71,0.0,3.2,17.9,13.9,22.4
1,0.58,1.0175,3.21,0.0,12.8,21.3,13.5,27.4
1,0.51,1.0141,3.25,0.0,13.1,24.6,15.6,29.7
7,0.66,1.0164,1.84,0.0,3.9,19.1,16.9,24.1
5,0.76,1.0168,1.22,0.0,1.2,17.6,13.9,22.4
1,0.63,1.0157,3.12,0.0,12.2,21.9,13.0,28.0
4,0.58,1.0148,2.87,0.3,10.4,24.2,18.4,30.9
6,0.73,1.0171,1.67,0.02,3.1,22.4,19.2,28.2
1,0.55,1.0189,3.28,0.0,13.6,23.7,15.4,30.5
0,0.55,1.0186,3.27,0.0,13.6,25.6,18.1,32.3
1,0.47,1.0153,3.19,0.0,13.0,28.9,21.5,34.8
5,0.59,1.0118,2.61,0.47,8.8,25.6,21.6,33.6
3,0.71,1.0161,2.79,0.0,10.1,21.2,16.2,26.4
5,0.66,1.0095,2.93,0.08,11.2,21.8,16.0,31.0
7,0.78,1.0134,1.16,0.7,1.1,14.5,12.6,18.5
8,0.93,1.0122,0.69,2.53,0.0,12.0,11.0,14.2
7,0.86,1.0103,1.67,1.24,3.3,15.2,11.6,19.5
5,0.7,1.0109,2.11,0.0,5.8,19.4,15.0,25.1
7,0.8,1.0138,1.15,0.36,1.1,17.7,15.4,21.4
6,0.81,1.0188,2.07,0.0,5.6,16.9,12.9,21.5
1,0.71,1.0203,2.9,0.0,11.3,19.6,12.6,25.8
1,0.68,1.0168,2.91,0.0,11.5,21.9,14.4,28.3
1,0.66,1.0124,3.03,0.0,12.5,23.3,15.6,29.5
2,0.71,1.013,2.63,0.0,9.5,23.3,17.0,28.0
6,0.63,1.0135,2.47,0.0,8.4,22.5,18.5,26.3
3,0.7,1.0165,2.57,0.0,9.2,20.3,17.2,25.5
2,0.55,1.0145,2.98,0.0,12.4,24.7,14.3,30.0
3,0.63,1.0098,2.34,0.55,7.7,23.7,20.4,31.6
1,0.66,1.0145,2.77,0.0,10.9,20.3,16.5,26.0
4,0.55,1.0111,2.79,0.93,11.1,22.5,13.8,27.7
7,0.78,1.0092,1.63,0.86,3.5,19.6,16.4,22.7
2,0.73,1.0159,2.78,0.0,11.2,19.4,15.0,25.4
1,0.62,1.0149,2.68,0.0,10.5,21.7,14.7,27.7
2,0.51,1.0065,2.78,0.0,11.4,25.3,18.0,30.6
3,0.63,1.0064,2.45,0.46,8.9,22.4,18.8,28.3
5,0.65,1.0124,2.63,0.21,10.4,19.5,13.0,25.6
2,0.59,1.0154,2.77,0.0,11.6,21.5,14.6,27.3
5,0.69,1.017,2.28,0.0,7.9,18.7,16.3,24.4
0,0.52,1.0146,2.81,0.0,12.1,20.9,13.0,26.7
1,0.48,1.009,2.73,0.0,11.5,25.8,17.5,32.3
5,0.57,1.0042,2.31,1.96,8.4,23.0,17.8,35.0
1,0.55,1.0176,2.69,0.0,11.4,18.6,14.0,23.6
6,0.66,1.0181,2.11,0.0,7.1,17.7,11.0,23.0
1,0.66,1.0213,2.67,0.0,11.5,18.1,13.5,24.0
2,0.59,1.0192,2.68,0.0,11.7,21.3,13.7,28.1
2,0.65,1.0166,2.63,0.0,11.4,24.1,16.6,31.7
0,0.69,1.0153,2.63,0.0,11.5,24.4,17.5,31.5
0,0.63,1.0157,2.63,0.0,11.6,25.0,18.5,32.5
0,0.64,1.0184,2.62,0.0,11.6,25.6,19.0,33.2
0,0.61,1.0196,2.54,0.0,11.1,25.4,19.0,32.0
2,0.6,1.016,2.28,0.0,9.1,24.2,20.0,31.3
3,0.54,1.0112,2.36,0.0,9.8,21.5,16.3,27.1
7,0.83,1.0109,1.04,0.89,1.4,15.7,13.5,20.2
1,0.71,1.0167,2.58,0.0,11.1,17.0,11.5,23.6
3,0.64,1.016,2.47,0.0,10.3,20.4,14.1,27.0
1,0.61,1.0192,2.5,0.0,10.7,18.1,14.4,25.0
1,0.56,1.0115,2.51,0.0,10.9,23.2,15.2,30.3
2,0.5,1.0089,2.52,0.0,11.2,24.7,16.8,31.6
7,0.61,1.0093,1.25,0.61,2.1,21.7,18.0,28.6
4,0.74,1.0176,1.81,0.02,5.6,13.4,11.4,19.3
5,0.63,1.0197,2.14,0.0,8.3,15.3,8.6,21.2
5,0.71,1.024,1.05,0.0,1.3,12.5,10.9,17.5
1,0.7,1.0265,2.24,0.0,9.4,14.1,6.1,21.4
5,0.69,1.024,1.67,0.0,5.0,15.0,11.0,19.4
2,0.64,1.0217,2.16,0.0,9.0,17.1,11.8,23.5
0,0.64,1.0221,2.3,0.0,10.4,14.8,10.1,22.0
0,0.54,1.0207,2.28,0.0,10.4,15.3,10.6,22.0
3,0.48,1.017,1.88,0.0,7.0,17.8,11.7,23.7
0,0.52,1.0154,2.22,0.0,10.1,19.1,13.4,26.2
2,0.51,1.0167,1.99,0.0,8.2,20.7,16.0,27.6
3,0.5,1.0217,2.06,0.0,9.0,20.8,16.7,26.9
1,0.48,1.0199,2.15,0.0,10.0,20.1,16.1,26.9
4,0.56,1.0144,1.61,0.2,5.4,18.2,15.0,23.4
