BASEL_cloud_cover,BASEL_humidity,BASEL_pressure,BASEL_global_radiation,BASEL_precipitation,BASEL_sunshine,BASEL_temp_mean,BASEL_temp_min,BASEL_temp_max
6,0.78,1.018,2.74,0.12,8.4,14.3,9.2,21.5
8,0.75,1.018,2.16,1.12,4.5,14.7,11.9,20.3
8,0.92,1.018,0.97,0.09,0.1,12.3,10.4,16.4
5,0.76,1.018,2.71,0.06,8.0,15.1,8.9,22.4
7,0.8,1.018,2.21,0.53,4.7,14.9,9.4,22.2
6,0.72,1.018,2.73,0.0,8.1,13.3,10.2,20.0
3,0.68,1.018,3.14,0.0,11.3,14.2,4.8,22.5
2,0.64,1.018,3.3,0.0,12.6,15.9,7.7,24.7
3,0.67,1.018,2.65,0.21,7.4,17.2,8.7,24.7
8,0.85,1.018,0.84,0.0,0.0,13.1,10.9,15.7
8,0.86,1.018,0.84,0.0,0.0,12.6,9.0,16.3
5,0.75,1.018,2.71,0.0,7.7,14.7,9.0,21.7
7,0.76,1.018,1.72,0.0,2.6,15.9,7.7,22.2
6,0.74,1.018,2.14,0.0,4.7,17.5,11.2,24.2
3,0.74,1.018,3.17,1.06,11.6,17.7,9.0,26.1
6,0.76,1.018,2.72,0.02,8.3,18.6,11.8,26.1
3,0.71,1.018,2.68,0.1,8.0,19.2,12.9,27.8
4,0.78,1.018,3.13,0.0,11.2,20.5,13.4,28.4
6,0.88,1.018,1.15,0.0,0.5,15.9,15.0,19.3
5,0.76,1.018,2.37,0.16,6.0,19.3,13.2,26.7
8,0.85,1.018,1.39,0.76,1.2,17.3,14.6,22.5
7,0.8,1.018,0.85,0.37,0.0,14.4,12.7,20.9
4,0.68,1.018,3.31,0.0,12.5,16.7,8.0,22.2
4,0.67,1.018,2.81,0.0,8.8,19.6,12.7,26.7
5,0.78,1.018,2.75,0.43,8.4,18.7,12.8,26.6
7,0.68,1.018,1.53,0.0,1.7,14.9,11.3,19.4
1,0.59,1.018,3.38,0.0,13.0,16.6,8.1,23.6
3,0.63,1.018,3.35,0.0,12.8,17.0,7.3,25.2
1,0.57,1.018,3.59,0.0,14.7,20.3,8.9,28.5
1,0.61,1.018,3.51,0.0,14.1,22.5,12.0,29.8
3,0.66,1.018,3.29,0.0,12.3,23.8,14.7,32.5
5,0.59,1.018,2.53,0.0,6.9,19.5,15.5,25.0
2,0.61,1.018,3.29,0.0,12.3,19.0,12.8,25.2
1,0.62,1.018,3.5,0.0,14.0,20.1,9.7,29.6
5,0.59,1.018,2.97,1.23,9.9,23.8,11.9,30.0
8,0.85,1.018,1.02,0.08,0.2,18.0,16.3,23.1
8,0.91,1.018,0.96,0.88,0.1,16.5,14.1,20.2
8,0.86,1.018,1.15,1.84,0.5,16.0,13.7,20.5
3,0.78,1.018,2.44,0.55,6.4,17.5,13.9,25.3
8,0.75,1.018,1.87,0.0,3.2,15.1,12.8,21.7
2,0.59,1.018,3.33,0.0,12.7,12.4,7.4,18.7
4,0.63,1.018,2.98,0.0,10.1,11.7,4.3,18.1
0,0.55,1.018,3.54,0.0,14.5,14.3,6.0,20.5
